posisi,perusahaan,kota,provinsi,gaji,tools,pendidikan,pengalaman,deskripsi_lengkap,level
Financial Products Analyst,WALLSTREETDOCS BANDUNG,Bandung,Jawa Barat,6000000,Excel,,,"We are seeking strong analytic person who is fluent in English to join our rapidly growing team based in Indonesia. The role will focus on developing and expanding our structured product database, with a specific emphasis on US and EU markets. The database will be used for market intelligence, reference data, and lifecycle management for the structured products industry.
As a member of the team, the successful candidate will be expected to take full responsibility for improving coverage and upgrading the system to create a comprehensive and fully featured database. The role will involve handling complex data entries and rules.
This is a full-time, staff position located in Indonesia, to coordinate with other team in different countries and report directly to the Team Lead.
Key Responsibilities:
Increase coverage of our structured product database
Oversee and improve our daily prices database
Responsible for automating of the data extraction process from public sources
Daily interaction with structured products distributors and issuers to expand product coverage
Requirements:
Ability to work under pressure to meet deadlines set
At least 1 year experience in any field is preferable
Minimal D3/S1
Fluency in English is mandatory; any other language is preferable.
Reliable with a strong work ethic
IT literate in appropriate Microsoft systems including advanced Excel
Ability to manipulate large data set
Strong numerical and analytical skills with ability to assimilate information.
Highly organized with the ability to schedule your own and other workloads.
Ability to work on projects independently and as part of a team.
About WSD
WSD is a leading provider of SaaS-based technology solutions for manufacturers of structured products and OTC derivatives, covering all aspects of the process from pre-trade workflows to order management, document production, data dissemination to exchanges, data vendors and the buy-side, as well as lifecycle management with offices in the UK, USA, Brazil, Germany, Hong Kong, Bangladesh and Indonesia.
WSD also operates RegXchange, an industry utility connecting the sell-side and buy-side, and Transparitrade, a white-labelled client-facing structured products platform featuring comprehensive education as well as trade execution and analytical tools. WSD serves its global Tier 1 clients with a staff of almost 200 and has offices in all major time zones.",
Commercial Finance Analyst (Contract-based),PT AstraZeneca Indonesia,Jakarta Lainnya,Jakarta Raya,,Excel,"Accounting, Finance",3,"Do you have expertise in, and passion for Finance? Would you like to apply your expertise to impact the lives of patients in a company that follows the science and turns ideas into life changing medicines? Then AstraZeneca might be the one for you!
ABOUT ASTRAZENECA
AstraZeneca is a global, science-led, patient-focused biopharmaceutical company that focuses on the discovery, development and commercialisation of prescription medicines for some of the world’s most serious diseases. But we’re more than one of the world’s leading pharmaceutical companies.We are on a journey to bring life-saving medicines to patients. Our role in contributing to decreasing mortality rates globally is clear – shaping the future by spotting a scientifically-led commercial opportunity and acting now to operationalise and scale it.
BUSINESS AREA – Indonesia Commercial Team
Our team proudly leads the way as the fastest growing pharmaceutical. But we’re not done yet – we’re fearless in setting the direction for a new future to keep progressing for our patients. We’re bringing transformative drugs to those that need them the most by combining continuous new launches with unique solutions across the whole patient journey. It’s how we are able to truly make a difference to the quality of lives and answer huge unmet patient needs.
In our ever-evolving and complex markets, it takes entrepreneurial thinking to stay at the forefront. Fusing our diverse minds with local ownership we’re powered with everything we need to shape a new future for AstraZeneca, our markets and our patients.
Here you will experience a fast paced and agile environment as we continue to support the business on a journey of evolution and growth, driven by new, exciting technology and digital innovations. It’s challenging and sometimes demanding, and that’s why we love it.
What you’ll do
Reporting to the Cluster CFO, this role will provide support to Financial Planning & Reporting Group including analysis and reporting for the RBU/ABU as well as preparing monthly financial and business performance reports. Responsible for working with all areas of the business to complete the enterprise wide budgeting and planning process. This includes the preparation and timely submission of financial reports, financial analysis and commentary. Additionally, analyst is also expected to understand operational matters in relation to accounting and administration. The role will also support on-going projects in finance.
This role will be hired as contract based for 6 months up to 1 year duration.
Typical Accountabilities:
Responsible for preparing in depth financial analysis of budgets, forecasts and actual results for review by Senior Management.
Coordinates and prepares presentations for regional Sr. Mgmt, Group CFO and other meetings.
Coordinate the completion of the enterprise wide planning cycle for the region.
Responsible for region RBU/ABU submission to Hyperion Planning (UK). Serve as Liaison with Group Reporting Services (UK).
Liaise with the O&FS (IS) Group to consolidate regional Business planning data.
Responsible for obtaining a solid understanding of key business drivers, risk factors and industry trends and applying this knowledge to financial analyses.
Identifies and implements continuous improvement opportunities to the planning and monthly reporting processes.
Performs ad-hoc reporting requirements and financial analysis.
Performs various local transactional troubleshooting in relation to accounting process.
Essential for the role
B.S. Degree in Finance or Accounting
Minimum 3-5 years of experience preferably from consulting/audit company.
Knowledge of regional operating model
Excellent PC skills and experience including SAP, BW, Excel and Powerpoint
Strong analytical ability
Exceptional communication and interpersonal skills, including oral and written
Demonstrated ability to perform in an environment that emphasizes teamwork
Demonstrated capacity to effectively manage multiple and frequently changing priorities
High degree of accuracy with attention to detail
Demonstrated ability to meet strict deadlines
Good sense of business acumen and analytic
High initiative and curiosity level.
Fluent at English, both spoken and written.
Understanding of P&L Structure/ Financial Statement.
Desirable for the role
Pharmaceutical Industry Experience
MBA or CPA
Why join AstraZeneca?
At AstraZeneca we’re dedicated to being a Great Place to Work. Where you are empowered to push the boundaries of science and unleash your entrepreneurial spirit. There’s no better place to make a difference to medicine, patients and society. An inclusive culture that champions diversity and collaboration, and always committed to lifelong learning, growth and development. We’re on an exciting journey to pioneer the future of healthcare.
So, what’s next?
Are you already imagining yourself joining our team? Good, because we can’t wait to hear from you.
Are you ready to bring new ideas and fresh thinking to the table? Brilliant! We have one seat available and we hope it’s yours.
If you’re curious to know more then please reach out to aziza.fitriani@astrazeneca.com. We welcome your application.
Where can I find out more?
Our Social Media, Follow AstraZeneca on LinkedIn
Follow AstraZeneca on Facebook
Follow AstraZeneca on Instagram
Date Posted
15-Agu-2025
Closing Date
29-Nov-2025
AstraZeneca embraces diversity and equality of opportunity.  We are committed to building an inclusive and diverse team representing all backgrounds, with as wide a range of perspectives as possible, and harnessing industry-leading skills.  We believe that the more inclusive we are, the better our work will be.  We welcome and consider applications to join our team from all qualified candidates, regardless of their characteristics.  We comply with all applicable laws and regulations on non-discrimination in employment (and recruitment), as well as work authorization and employment eligibility verification requirements.",Mid Level
System Analyst Section Head,Yayasan Bina Nusantara,Jakarta Lainnya,Jakarta Raya,,Tidak ada tools spesifik,,2,"Job Descriptions:
Arrange project timeline for the overall application system implementation
Reviews and analyze requirements, specifications, business process along with recommendations related to proposed solution
Coordinate and monitor progress of the application implementation project
Maintain and enhance user’s satisfaction towards various IS Application Development
Identify opportunities that can improve efficiency of business processes
Coordinate application development for multiple projects
Assist in troubleshooting software application issues.
Troubleshoot technical issues and identify modifications needed in existing applications to meet changing user requirements.
Analyze data contained in the corporate database and identify data integrity issues with existing and proposed systems and implement solutions.
Provides assistance and advice to business users in the effective use of applications and information technology.
Write technical procedures and documentation for the applications including operations, user guide, etc.
Produce technical documentation for new and existing applications.
Verify database and data integrity.
Participate on project steering committees and be involved in the design phase of any new software development projects
Assist in the creation of the system design and functional specifications for all new development projects.
Serve as a liaison and facilitator between all business units to assist in addressing and resolving application issues.
Ensure appropriate standards and procedures
Management Support Activities:
Provide Report to direct Supervisor
Suggest improvement process related to activities in area of responsibilities (especially related to time concern, effort and cost)
Perform activities related to Quality Management System
Perform additional tasks related to key responsibilities as required by Direct Supervisor
Education Requirement:
Minimum Bachelor Degree
Work Exposure/Experience
:
Minimum 2 years in Senior Staff level position, or Minimum 4 years of working experience
Special Skills/Certification
:
Programming Language & Framework (especially web-based)",Mid Level
Business Development & Partnership Analyst,PT Sinarmas Sekuritas,Jakarta Pusat,Jakarta Raya,,Tidak ada tools spesifik,Jurusan Lainnya,,"Key Responsibilities:
Market Research and Analysis:
Conduct comprehensive market research to identify potential business opportunities and partnerships.
Analyze market trends, competitor activities, and customer needs to provide actionable insights and recommendations.
Evaluate the potential of new markets, products, or services and develop strategies for market entry.
Partnership Development:
Identify and approach potential partners, including companies, organizations, and other entities that align with the company’s strategic goals.
Develop and maintain relationships with key stakeholders and decision-makers at partner organizations.
Assist in the negotiation and execution of partnership agreements, ensuring mutually beneficial terms.
Business Development:
Support the development and execution of the company’s business development strategy.
Identify and pursue new business opportunities that align with the company’s growth objectives.
Collaborate with internal teams, including marketing, sales, and product development, to align business development efforts with overall company goals.
Data Analysis and Reporting:
Analyze data and generate reports to measure the performance of business development activities and partnerships.
Provide regular updates to senior management on the status of ongoing initiatives and potential opportunities.
Use data-driven insights to refine strategies and improve the effectiveness of business development efforts.
Cross-functional Collaboration:
Work closely with other departments to ensure successful implementation of partnerships and business initiatives.
Coordinate with marketing to develop promotional materials and campaigns that support business development efforts.
Collaborate with finance to develop financial models and forecasts for potential deals and partnerships.
Support Strategic Planning:
Assist in the development of long-term strategic plans for business growth and partnership expansion.
Provide input on strategic initiatives and help evaluate potential mergers, acquisitions, and joint ventures.",
Procurement Analyst,PT Garudafood Putra Putri Jaya,Jakarta Selatan,Jakarta Raya,,Excel,"Industrial Engineering, Informatics Engineering, Management",0,"Category Position
Non Sales
Work Location
Bintaro
Employee Status
PKWTT (Permanent)
Education Level
Bachelor
Year of Experience
0
Major
All Major
Pendidikan S1 Teknik Industri, Manajemen, Informatika atau bidang terkait.
Fresh graduates are welcome
Memiliki kemampuan komunikasi, negosiasi, dan analisa data
Familiar dengan Ms. Office (Excel, Powerpoint, Word) & tools procurement (SAP atau ERP sejenis)
Bersedia melakukan perjalanan dinas sesuai kebutuhan perusahaan
Mengidentifikasi Kebutuhan Pengadaan
Mencari & Memilih Vendor yang Sesuai
Melakukan proses negosiasi dengan Vendor
Menjalankan proses pembelian dan pengadaan barang sesuai dengan SOP
Melengkapi data permintaan legalitas vendor
Mengajukan Registrasi Vendor Baru
Melakukan rekap data Procurement seperti pengajuan pembelian dan Database Vendor
melakukan analisa data-data terkait pembelian",Entry Level
Finance Solutions Excellence Analyst,Finance,Jakarta Selatan,Jakarta Raya,,"SQL, Python",Information Technology,,"Get to Know the Team
The Finance Solutions Excellence team is dedicated to improving finance processes through automation and data-driven solutions. We partner with Global Process Owners, Data Engineers, Data Analysts, and Finance teams to deliver impactful improvements. Our team values curiosity, and a commitment to creating growth. Together, we are shaping the future of finance by creating smarter, faster, and scalable solutions.
Get to Know the Role
The Finance Solutions Excellence Analyst will drive process improvements within the finance team, focusing on AI-driven solutions using Python, SQL, and LLMs. You will collaborate with Global Process Owners, Data Engineers, Data Analysts, and Finance teams to design and deliver impactful solutions. You will report directly to the Senior Manager, Finance Solutions Excellence & Operations.
The Critical Tasks You Will Perform
Execute process improvement projects to automate and improve finance operations, utilizing technology for scalable solutions.
Analyze and redesign manual finance processes in collaboration with Finance teams, ensuring efficiency and accuracy.
Develop Python scripts and SQL queries for data extraction, validation, reconciliation, and reporting.
Build and prototype AI-driven tools and analytics solutions to support data-informed decision-making.
Work closely with Data Engineering and Analytics teams to integrate solutions with enterprise systems and architecture.",
TikTok Shop by Tokopedia - Special Project & Analyst - ID Integrated...,TIKTOK PTE LTD (TIKTOK),Jakarta Lainnya,Jakarta Raya,,"SQL, Excel",,5,"Responsibilities
The SEA Integrated Marketing team (IMC) crafts and executes integrated marketing and communications & campaign strategies that resonate with our diverse audience across SEA. The team builds brand awareness, drive user engagement, and enhance the overall shopping experience. Whether it's launching innovative marketing campaigns, optimizing user interfaces, or crafting compelling narratives, the team's contributions are essential to TikTokShop's success in SEA. Responsibilities
Conduct in-depth analyses (through internal data, external primary and secondary sources) to help the business (IMC) better understand key value drivers and identify growth opportunities, propose valuable solutions and strategies, and drive their implementation within the business.
Gain profound insights into business.
Actively diagnose and pinpoint issues hindering target achievement.
Market research and analysis: Conduct thorough market research to identify target audiences, competitive landscape, and market trends.
Analyze data to inform GTM strategy and optimize campaign strategy.
As a PMO, spearheads the execution of relatively complex projects.
Proactively establish connections with various internal and external teams. Act as owner on key initiatives and target setting
Work closely and effectively with various stakeholders (e.g. Category team, internal MKT team, UG etc.) to drive and land business results
Qualifications
Minimum Qualifications:
5+ years of internet industry experience, with preference for those with background in internet growth strategy/planning, business analysis, operations analysis, or consulting.
Strong business strategy analysis, able to provide holistic, well-grounded, and objective business strategies based on market research, user research, data analysis, and expert assessment.
Demonstrate a strong analytical and quantitative aptitude, strong experience in excel modeling
Excellent structured expression and logical thinking skills, strong in identifying business priorities and making sound judgments, high data sensitivity.
Demonstrate solid project management skillset: handling and juggling multiple processes at once across different topics, functions and stakeholders
Proficiency in English.
Exhibit excellent communication (written and verbal) and organizational skills, with the ability to handle ambiguity and structure complex issues to derive insights. Preferred Qualifications:
Self-starter attitude: ability to initiate and drive complex analysis to completion with minimal guidance, while synthesizing and communicating insights effectively.
Knowledge of SQL.",Senior Level
Credit Analyst - Jambi,PT Hino Finance Indonesia,,Jambi,,Tidak ada tools spesifik,,2,"Responsibilities:
Analyze all financial data for lease application proposal and check the validity & accuracy of customers data (minimum 5 C's of Credit), including counting financial ratios
Provide recommended terms and conditions for the lease application
Qualification:
Bachelor's degree, preferably in Economics or Industrial Engineering
Fresh graduate or max 2 years experience
Strong analytical thinking
Have interest working with numbers, financial statments or other financial data
Good communication and presentation skills
Excellent problem-solving skills
Good in English (Writing & Speaking)",Mid Level
Head of Data Analyst & IT Relations,Yayasan Bina Nusantara,Jakarta Lainnya,Jakarta Raya,,"Power BI, Tableau","Computer Science, Data Science, Information Systems, Information Technology",2,"Key Responsibilities
Responsible for content posted in all BINUS Online website.
Maintain relationships between IT, stakeholders and divisions in BINUS Online.
Identify pain points and area of improvements in business processes performed by divisions.
Capture project requests and identify project benefits in requests requested by divisions and customers.
Monitor and escalate risks and issues found in project to stakeholder.
Help in tracking and monitoring project’s progress against project timeline.
Help in organizing changes requested in IT Projects.
Identify high-level business rules for data model and query.
Adapt and implements conceptual and logical data model to enterprise model.
Coordinate and monitor database system in BINUS Online applications, including configuration, security, resources monitoring, reporting, and troubleshooting.
Developing and implements standard procedures towards business processes performed in division.
Ensure data stored in database management system abides legal regulations.
Management Support Activities
Provide reports to direct supervisor.
Suggest improvement in processes related to activities performed in area of responsibilities in division (related to time concern, effort, and cost).
Perform activities related to Quality Management System.
Perform additional tasks related to key responsibilities as requested by direct supervisor.
Requirements
Education Requirement
Minimum of Bachelor’s degree in Computer Studies (Computer Science/ Information Technology/ Information Systems/Data Science/other related Computer Studies).
Work Exposure / Experience
Minimum 2 years working experience as a senior staff or other leadership role in IT related area, or
Minimum 4 years working experience in IT related area, particularly in database and application development.
Special Skills
Database Management System.
Data Visualization, such as Tableau, PowerBI and other.
Understanding in designing architecture for data integration between systems, such as data stream or data flow.",Mid Level
Business Analyst - Banking Industry,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Lainnya,Jakarta Raya,,Tidak ada tools spesifik,"Business Administration, Computer Science, Information Technology",3,"Location: Rasuna Said, Jakarta Selatan (Full WFO)
Salary (max) : 11 Mio Gross
Requirements:
Bachelor's or Master’s degree in Computer Science, Information Technology, Business Administration, or a related field
At minimum 3 years experience in related field.
Previous experience in Business Analyst or Business Process Analyst in the financial industry especially Bank.
Experience with Agile/Scrum methodologies
Experience Mobile Banking
Ability to gather, perform analysis and create Business Technical Requirements include technical liaison between internal stakeholders and external clients.
Ability to work collaboratively with cross-functional teams and effectively communicate technical information to non-technical stakeholders.
Excellent problem-solving skills and ability to identify potential areas for process improvement.",Mid Level
System Analyst,Sabio Ekuator Teknologi,Jakarta Lainnya,Jakarta Raya,10000000,Tidak ada tools spesifik,,,"1. Analisis Kebutuhan
Mengidentifikasi kebutuhan bisnis dari pengguna atau klien.
Melakukan wawancara, observasi, dan studi dokumen untuk memahami proses kerja.
Menerjemahkan kebutuhan bisnis menjadi kebutuhan sistem (system requirements).
2. Desain Sistem
Membuat rancangan sistem, termasuk alur proses, data flow diagram (DFD), ERD, dan spesifikasi teknis.
Menentukan arsitektur sistem dan integrasi dengan sistem lain.
Menyusun dokumen System Design Specification (SDS).
3. Dokumentasi
Menyusun dokumen kebutuhan (Business Requirement Document / BRD, Software Requirement Specification / SRS).
Membuat user manual atau panduan penggunaan sistem.
4. Koordinasi dengan Tim
Menjadi penghubung antara user (bisnis) dan tim teknis (developer, tester, engineer).
Memberikan arahan ke tim programmer berdasarkan kebutuhan yang sudah dianalisis.
Melakukan komunikasi lintas departemen untuk memastikan sistem sesuai kebutuhan.
5. Pengujian Sistem
Membuat skenario uji (test case) dan ikut serta dalam User Acceptance Test (UAT).
Memastikan sistem yang dibangun sesuai kebutuhan dan bebas dari error kritis.
Memberikan feedback untuk perbaikan ke tim developer.
6. Implementasi & Support
Membantu proses implementasi sistem ke user.
Memberikan pelatihan kepada end-user.
Memberikan support ketika ada masalah teknis atau bug.
7. Monitoring & Evaluasi
Mengevaluasi kinerja sistem setelah digunakan.
Mengusulkan perbaikan atau pengembangan lebih lanjut.",
INDIVIDUAL FINANCING ANALYST PALEMBANG,PT BANK BTPN SYARIAH Tbk.,Palembang,Sumatera Selatan,,Tidak ada tools spesifik,Information Technology,2,"Kualifikasi:
Pendidikan D3 atau S1
Pengalaman minimal 2 tahun di bidang analisa kredit/perbankan/surveyor lapangan
Mampu melakukan verifikasi dan pencatatan aset secara akurat
Terbiasa menilai karakter dan potensi bayar nasabah mikro
Tugas & Tanggung Jawab:
Melakukan analisa pembiayaan kepada nasabah dan calon nasabah dengan melakukan kunjungan langsung/melalui telepon
Melakukan pemeriksaan kembali atas nilai
soft collateral
yang di evaluasi INDIVIDUAL FINANCING OFFICER (IFO)
Berkoordinasi dengan IFO mengenai profil dan usaha nasabah yang akan diakuisisi
Memberikan rekomendasi plafon dan tenor pembiayaan yang dapat diberikan ke nasabah",Mid Level
Analytics & Data Engineer Manager,PT Masa Akan Datang,Tangerang Selatan,Banten,,"API, SQL, Google Analytics, Java, Tableau, Metabase, Python, Power BI","Computer Science, Data Science, Engineering",7,"Analytics & Data Engineer Manager will bridge the gap between data engineering and business intelligence, providing actionable insights to our business and product teams. You will be responsible for designing and maintaining data pipelines, advising development teams on data tracking, overseeing Google Analytics implementation, and creating business intelligence reports using tools.
Please note that this is an onsite position, placement: Gading Serpong, South Tangerang
Key Responsibilities
Cross-Team Collaboration
Work closely with frontend web, iOS, Android, and backend teams to advise on data tracking methodologies.
Understand and translate business requirements into technical specifications for data collection.
Data Pipeline Development
Build and maintain data engineering pipelines to process platform production data.
Utilize
ETL processes
for data extraction, transformation, and loading.
Ensure data integrity and reliability throughout the data lifecycle.
Google Analytics Management
Configure reports and data within Google Analytics to meet business needs.
Gather reports and data from GA dashboards and programmatically via the GA API.
Oversee the implementation and configuration of Google Analytics to meet data requirements.
Provide guidance on best practices for tracking and analyzing user interactions.
Business Intelligence Creation
Develop and maintain BI dashboards and reports using tools like Metabase.
Provide insights and analytics to support decision-making for business and product teams.
Requirements
Bachelor's degree in Computer Science, Data Science, Engineering, or a related field.
Experience
5–7 years of professional experience in data engineering and pipeline development.
Familiarity with Google Analytics configuration and data extraction.
Experience with BI tools such as Metabase, Tableau, or Power BI.
Technical Skills
Proficiency in SQL and at least one programming language (e.g., Python, Java).
Knowledge of data warehousing concepts and
ETL processes
.
Ability to design and manage ETL workflows.
Ability to extract and manipulate data from Google Analytics dashboards and programmatically via APIs.
Understanding of web and mobile app development practices for data tracking.\
Soft Skills
Strong analytical and problem-solving abilities.
Excellent communication skills to convey complex data concepts to non-technical stakeholders.
Ability to work collaboratively in a cross-functional team environment.",Senior Level
Market Risk Analyst,PT. Exxon Mobil Indonesia,Bojonegoro,Jawa Timur,,"SQL, Tableau, Python, Segment, R, Power BI, Excel",Jurusan Lainnya,2,"About us
At ExxonMobil, our vision is to lead in energy innovations that advance modern living and a net-zero future. As one of the world's largest publicly traded energy and chemical companies, we are powered by a unique and diverse workforce fueled by the pride in what we do and what we stand for.
The success of our Upstream, Product Solutions and Low Carbon Solutions businesses is the result of the talent, curiosity and drive of our people. They bring solutions every day to optimize our strategy in energy, chemicals, lubricants and lower-emissions technologies.
We invite you to bring your ideas to ExxonMobil to help create sustainable solutions that improve quality of life and meet society's evolving needs. Learn more about
our What and our Why
and how we can work
together
.
ExxonMobil in Singapore
ExxonMobil is one of Singapore's largest foreign manufacturing investors with over S$25 billion in fixed asset investments.
We have manufacturing facilities that include an integrated world-scale refining and petrochemical complex in Jurong and Jurong Island, a network of service stations under the Esso brand, operate a lubricant plant and are a supplier of cylinder cooking gas. ExxonMobil provides customers and commercial markets in the region with ground transportation, industrial, aviation and marine fuels, lubricants, petrochemicals and liquefied natural gas (LNG).
As Singapore serves as the AP hub for some of our businesses, we employ about 3,500 people across positions in operations, projects, commercial, corporate support functions and others.
ExxonMobil also contributes to community programs in Singapore that support the arts, education, health and the environment.
For more information, visit
www.exxonmobil.com.sg
or follow ExxonMobil Singapore on LinkedIn and Instagram.
What role you will play in our team
The Market Risk Analyst position is responsible for monitoring trading activities for compliance with Market Risk Management policies and developing and maintaining tools for Global Trading activities. You will be responsible for independently identifying, measuring, and reporting trading gross margin, exposures, and the market risk of the portfolio of transactions that are executed and owned by the Commercial organization. You will work with a dynamic, global team in a high-visibility role that provides advice to the Commercial organization on risk appetite, risk limit utilization and market risk mitigation strategies, and risk assessments and insights to senior management.
What you will do
Position responsibilities can include:
Act as Market Risk focal point for front-office and senior stakeholders. Develop strong relationships with Commercial stakeholders and possess deep end-to-end understanding of trading strategies, associated exposures and future growth aspirations for the trade desk supported.
Understand supply and demand fundamentals, including regional/locational price differences, fundamental drivers of changes in these spreads, historical market direction and trends/underlying fundamental causes.
Show a strong commitment to market risk management principles, including being proactive, transparent, and open to debate with Global Trading as necessary.
Independently assess and advise on risk profiles from the trade to portfolio level (e.g., risk reward trade-off, optimization of constrained risk, liquidity, market fundamentals, and market sentiment sensitivities).
Ensure adherence to mandated exposure and risk limits and provide guidance on actions to be taken to reduce risk if necessary.
Execute daily market risk processes and generate risk reports, collaborating closely with trading teams to manage market risk.
Provide daily, insightful commentary of key portfolio activity including their implications for market intelligence, exposure changes, and new deal activity.
Collaborate with trading support functions (e.g. Finance, Accounting) for deal support and general portfolio queries.
Ensure trading data integrity by validating positions and reconciling any inconsistencies with responsible traders.
Review plan for hedging and provide support to develop trading limits. Ensure that the proposed transaction and associated hedges can be properly valued and reported by the risk management system of record.
Further develop and build out Risk reporting and ad-hoc analysis tools using advanced computer skills (e.g. Excel, VBA, SQL, Python, R, Tableau, Power BI).
Participate in month, quarter, and year-end closing processes.
Work closely (daily) with refinery coordinators and optimizers, schedulers and traders to validate production data and trades impacting inventory positions and generate hedging signals.
About you
Skills and Qualifications
Academic:
Bachelor's degree or above (Master's, MBA, CFA, or Ph.D.) in Economics, Finance, Mathematics or Statistics
Required Qualifications:
2-10 years of experience in financial, energy or chemical risk management
Strong knowledge of energy and traded markets, preferably crude, crude freight, and LNG
Strong understanding of physical trading, derivatives, and financial products
Excellent quantitative and analytical skills
Excellent proficiency in Excel, SQL, and quantitative programming languages such as Python
Experience with Energy Trading Risk Management Systems
Collegiality and truly good interpersonal skills balanced with a disciplined risk management approach
Preferred Qualifications:
Experience with Python/SQL
High level of Excel proficiency
Familiarity with trade capture and nomination / scheduling systems
Your benefits
An ExxonMobil career is one designed to last and we provide job rotations throughout your career with us. Our commitment to you runs deep: our employees grow personally and professionally, with benefits built on our core categories of health, security, finance, and life.
Currently our employees benefits include: Long Term Savings Allowance, dental reimbursement, annual health checkups and Home Ownership Assistance Plan amongst others and these are updated from time to time.
Stay connected with us:
Learn more at our website
Follow us on LinkedIn and Instagram
Like us on Facebook
Subscribe our channel at YouTube
Equal Opportunity Employer
It is the policy of the Company to provide equal employment opportunity in conformance with all applicable laws and regulations to individuals who are qualified to perform job requirements. The Company administers its personnel policies, programs, and practices in a non-discriminatory manner in all aspects of the employment relationship, including recruitment, hiring, work assignment, promotion, transfer, termination, wage and salary administration, and selection for training.
Please be informed that only shortlisted candidates will be notified, and you can find out more about our hiring process here .
We thank you for your interest in ExxonMobil.
Nothing herein is intended to override the corporate separateness of local entities. Working relationships discussed herein do not necessarily represent a reporting connection, but may reflect a functional guidance, stewardship, or service relationship.
Exxon Mobil Corporation has numerous affiliates, many with names that include ExxonMobil, Exxon, Esso and Mobil. For convenience and simplicity, those terms and terms like corporation, company, our, we and its are sometimes used as abbreviated references to specific affiliates or affiliate groups. Abbreviated references describing global or regional operational organizations and global or regional business lines are also sometimes used for convenience and simplicity. Similarly, ExxonMobil has business relationships with thousands of customers, suppliers, governments, and others. For convenience and simplicity, words like venture, joint venture, partnership, co-venturer, and partner are used to indicate business relationships involving common activities and interests, and those words may not indicate precise legal relationships.
Job Segment:
Sustainability, SQL, Database, Risk Management, Refinery, Energy, Technology, Finance",Mid Level
Strategy Analyst to CEO,ASPEN - Allianz,Jakarta Utara,Jakarta Raya,,Excel,,1,"Job Responsibility:
Provide high-level administrative support by conducting research, compiling data & reports, preparing documents and presentation for internal and external audience for information and decision making
Supporting Executive Officer in managing internal and external projects
Attending various level business meetings
Assisting Executive Officer in maintaining document archives and arranging meetings and schedules of internal and external projects
Perform other tasks that are in the scope of the position.
Requirements:
Have minimum Bachelor Degree in related major
1 - 3 years of experience in the same field
Good English proficiency
Proficiency in Office application - Excel, Word, and Powerpoint
Experience in handling multi-tasking environment across various departments
Having experience in AI related tools for data analysis
79312 | Strategy | Entry Level | Non-Executive | Allianz Indonesia | Full-Time | Permanent
Allianz Group is one of the most trusted insurance and asset management companies in the world. Caring for our employees, their ambitions, dreams and challenges, is what makes us a unique employer. Together we can build an environment where everyone feels empowered and has the confidence to explore, to grow and to shape a better future for our customers and the world around us
At Allianz, we stand for unity: we believe that a united world is a more prosperous world, and we are dedicated to consistently advocating for equal opportunities for all. And the foundation for this is our inclusive workplace, where people and performance both matter, and nurtures a culture grounded in integrity, fairness, inclusion and trust.We therefore welcome applications regardless of ethnicity or cultural background, age, gender, nationality, religion, social class, disability or sexual orientation, or any other characteristics protected under applicable local laws and regulations
Join us.
Let's care for tomorrow.",Entry Level
Marketing Analyst,PT. Permata Azzuri Sehat,Jakarta Selatan,Jakarta Raya,7000000,Tidak ada tools spesifik,"Business Administration, Marketing",,"Job Description
Responsible for creating and executing marketing strategies that attract and engage potential clients from healthcare organizations. Your focus will be on generating high-quality leads for our sales team through targeted digital campaigns, content creation, and strategic collaborations within the healthcare industry
Responsibilities
• Create Marketing Strategies: Work with the marketing team to develop plans that target healthcare businesses and align with our company goals. Your goal is to get qualified leads for our sales team.
• Lead Generation: Use email marketing, social media, and other channels to attract and engage potential customers, turning them into leads for our sales funnel.
• Search Engine Optimization (SEO): Improve our website's visibility on search engines by optimizing content with relevant keywords.
• Marketing Collateral: Create materials to support our sales team in their interactions with potential clients.
• Performance Tracking: Use analytics to measure campaign performance and make data-driven improvements.
Job Requirements
• Bachelor degree in marketing, business administration, or a related field
• Experience in B2B marketing, preferably in healthcare or technology.
• Familiarity with digital marketing and lead generation techniques.
• Knowledge of health management systems or Healthcare IT is a plus.
• Strong analytical and communication skills.
• Creative thinking to develop innovative marketing campaigns. Results-driven with a track record of achieving marketing goals.
• Excellent communication skill
• Adaptable and open to learning new tools and techniques
• Fluent in english, verbally and written",
Business System Analyst ERP (Loc: Yogyakarta) - Full WFO,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Yogyakarta,DI Yogyakarta,,Tidak ada tools spesifik,Jurusan Lainnya,3,"1. Pengalaman implementasi ERP Finance & Accounting (project end to end), minimal 3 tahun
2. Paham desain dan relasi antar database pada transaksi keuangan
3. Sertifikasi Dynamics 365 (misalnya MB-310: Microsoft Dynamics 365 Finance) jadi nilai tambah
4. Familiar dalam konfigurasi modul finance dan accounting
5. Pengalaman integrasi dengan modul lain (Procurement, Sales, Inventory, Project Management).
6. Mengerti end-to-end process: dari transaksi harian → closing → reporting (P&L, Balance Sheet, Cash Flow)
7. Paham tax compliance (PPh, PPN, withholding tax) sesuai regulasi Indonesia
8. Berpengalaman dalam financial consolidation & multi-currency",Mid Level
